Symbol,Ticker_NS,Base_Profit_Row,Base_Year,Sales_2025,Dividend_Payout_%,EPS_TTM,Operating_Profit_Base,Operating_Profit_2025,Tax_%,Interest,Market_Cap,Shares,Cost_of_Equity,CAGR,PE,PEG,Dividend_Yield,Dividend Yield,EV,EV_to_Capital_Employed,Inverse_Earning_Yield,Book_Value,Intrinsic_Value,Reverse Beta calculation,Current_Price,Beta from Money Control
AXISBANK,AXISBANK.NS,Financing Profit,2020,127374,1,83.86,-2851,9943,23,71036,327209.25,310.24,14.27,,14.71,,0,0.02597826143,327209.25,528.61,32.91,603.52,,1.150074294,1233.7,
BAJFINANCE,BAJFINANCE.NS,Financing Profit,2020,69709,21,28.09,7608,22963,24,24992,557721.05,622.25,14.54,0.25,37.13,1.5,0.02,0.7429456939,557721.05,4497.75,24.29,155.39,-2200.67,1.190193165,1043.1,
BAJAJFINSV,BAJAJFINSV.NS,Operating Profit,2020,133822,2,59.64,18258,49524,26,24587,314146.06,159.78,16.36,0.22,34.9,1.58,0.01,0.2978009059,314146.06,1963.41,6.34,453.09,-1579.61,1.460624071,2081.6,
CHOLAFIN,CHOLAFIN.NS,Financing Profit,2020,25846,4,52.97,1699,5680,26,12495,121117.17,84.12,15.28,0.27,32.44,1.19,0.01,0.1571663352,121117.17,720.94,21.32,281.36,-965.2,1.300148588,1718.5,
HDFCAMC,HDFCAMC.NS,Operating Profit,2021,4051,78,128.38,,3345,25,9,119752.16,21.39,14.07,,42.1,,0.03,2.256962894,119752.16,1119.18,35.8,380.02,,1.120356612,5404.5,
HDFCBANK,HDFCBANK.NS,Financing Profit,2020,336367,24,47.21,14593,-34501,24,183894,1465470.12,1535.41,12.65,,21.03,,0.05,-0.5432783683,1465470.12,1915.65,,339.84,,0.9093610698,992.65,
HDFCLIFE,HDFCLIFE.NS,Operating Profit,2020,92922,25,8.79,1141,1028,-40,0,167359.73,215.54,12.72,-0.02,83.73,,0.15,0.1620046314,167359.73,77.73,162.8,74.95,,0.9197622585,736,
ICICIBANK,ICICIBANK.NS,Financing Profit,2020,186331,15,74.91,-44805,-32775,25,89028,997586.46,714.09,13.06,,17.97,,0.03,-0.5113366303,997586.46,700.06,,439.59,,0.970282318,1346.4,
ICICIPRULI,ICICIPRULI.NS,Operating Profit,2020,70778,10,9.04,-390,1157,25,0,88152.64,144.67,13.66,,66.29,,0.08,0.133458683,88152.64,61.01,76.19,82.49,,1.059435364,599.25,
JIOFIN,JIOFIN.NS,Operating Profit,2021,2043,20,2.56,,1549,17,8,199302.52,635.33,16.22,,119.84,,0,0.1589376162,199302.52,31.37,128.67,194.38,,1.439821694,306.8,
KOTAKBANK,KOTAKBANK.NS,Financing Profit,2020,65669,2,93.41,-9958,-11496,24,28275,389790.17,198.85,12.79,,22.63,,0,-0.05470775626,389790.17,392.14,,791.99,,0.9301634473,2113.5,
LICHSGFIN,LICHSGFIN.NS,Financing Profit,2020,28111,10,100.39,3367,6974,21,19528,30644.01,55.01,15.48,0.16,5.73,0.37,0.09,2.202709576,30644.01,278.58,4.39,660.87,156,1.32986627,575.55,
MUTHOOTFIN,MUTHOOTFIN.NS,Financing Profit,2020,20214,20,153.3,4298,7272,26,7461,111752.76,40.15,13.8,0.11,20.81,1.88,0.03,1.135340043,111752.76,278.69,15.37,731.46,-1012.94,1.080237741,3190.6,
PFC,PFC.NS,Financing Profit,2020,107106,23,73.68,14012,38603,21,64670,130123.01,330.01,18.11,0.22,5.48,0.24,0.19,6.669386696,130123.01,39.43,3.37,356.77,-1161.54,1.720653789,403.4,
RECLTD,RECLTD.NS,Operating Profit,2020,56369,30,65.58,25961,54216,21,34131,96849.98,263.32,15.82,0.16,5.78,0.36,0.17,16.28907985,96849.98,36.78,1.79,297.64,-242.69,1.38038633,379.2,
SHRIRAMFIN,SHRIRAMFIN.NS,Financing Profit,2020,43941,19,52.45,3565,13132,24,18529,110278.14,188.09,11.31,0.3,15.18,0.51,0.06,1.665559884,110278.14,293.29,8.4,300.23,-1703.81,0.7102526003,796.45,
SBIN,SBIN.NS,Financing Profit,2020,490938,18,89.01,-70715,-62049,26,300943,749664.61,923.06,15.41,,10.67,,0.1,-1.274063055,749664.61,840.43,,527.63,,1.319465082,949.7,
